iter	Logloss
0	0.687806789
1	0.682120065
2	0.6773856292
3	0.6730152132
4	0.6675742853
5	0.6629917205
6	0.6584313385
7	0.6538366893
8	0.6499602658
9	0.6456387951
10	0.6409625457
11	0.6368847893
12	0.632987121
13	0.629296009
14	0.6255003875
15	0.6220885386
16	0.6184674227
17	0.6148917918
18	0.611607792
19	0.6081974386
20	0.6050114751
21	0.6018507523
22	0.5989800289
23	0.5965607926
24	0.5940912052
25	0.5915981274
26	0.5888229678
27	0.5866205823
28	0.584125725
29	0.5815633414
30	0.5787704015
31	0.5763737552
32	0.573831452
33	0.571841252
34	0.5695561071
35	0.567771334
36	0.5659171193
37	0.5638860775
38	0.5620505815
39	0.5599381452
40	0.5579460135
41	0.5564331066
42	0.5546894221
43	0.5528957482
44	0.5513453872
45	0.5498803013
46	0.5481801463
47	0.5466457101
48	0.5454161329
49	0.5440393281
50	0.5424668013
51	0.5412075788
52	0.5396436207
53	0.538142368
54	0.5368760737
55	0.5356977623
56	0.5344814356
57	0.5332436639
58	0.5318740867
59	0.5305138798
60	0.5292319551
61	0.5280144546
62	0.5272311939
63	0.5261466009
64	0.5252123282
65	0.5242152015
66	0.5233692337
67	0.5223061933
68	0.5212654589
69	0.5204820987
70	0.5198017332
71	0.5185766643
72	0.5178582347
73	0.5170408503
74	0.5165116241
75	0.5158426664
76	0.5149385728
77	0.514204392
78	0.5135429679
79	0.5126826332
80	0.512185341
81	0.5116655442
82	0.5109630755
83	0.5103470988
84	0.5098553101
85	0.5090950195
86	0.5085384804
87	0.5076621245
88	0.5069295502
89	0.5062692195
90	0.5057444658
91	0.5051677939
92	0.5046405851
93	0.5039870502
94	0.5034662236
95	0.5030120849
96	0.5023836364
97	0.5020277921
98	0.5017115095
99	0.5013531043
100	0.500751455
101	0.5001659566
102	0.4996374446
103	0.4992850959
104	0.4989356253
105	0.4983920721
106	0.4978378961
107	0.4974096235
108	0.4967721442
109	0.4963986471
110	0.4959315051
111	0.4954509577
112	0.4948965963
113	0.4944394371
114	0.4939776377
115	0.493567987
116	0.4929649907
117	0.4925090786
118	0.4919926148
119	0.4916217215
120	0.4911592744
121	0.4908051493
122	0.4904172113
123	0.4900016127
124	0.4896011217
125	0.4892150528
126	0.4887361088
127	0.4883592226
128	0.4880081744
129	0.4877469502
130	0.4874089375
131	0.4871036589
132	0.4868107251
133	0.4864099494
134	0.4860933569
135	0.485872568
136	0.485567668
137	0.4853506905
138	0.4851109244
139	0.4847505746
140	0.4844573744
141	0.4841735327
142	0.4840478387
143	0.4837742333
144	0.4835477987
145	0.4831973458
146	0.4830025095
147	0.4826616612
148	0.4823226329
149	0.4820474895
150	0.4817645643
151	0.4814659905
152	0.4812355609
153	0.4810521442
154	0.4808537736
155	0.4805112528
156	0.4801688319
157	0.4799216678
158	0.4796406258
159	0.4794648013
160	0.4790810825
161	0.4788259922
162	0.4786707862
163	0.4785249172
164	0.4783215196
165	0.4780132214
166	0.4778688366
167	0.4776369699
168	0.4774759727
169	0.4772387142
170	0.4770198282
171	0.4769086628
172	0.4766659295
173	0.4764279614
174	0.4762492477
175	0.4760337951
176	0.475886109
