iter	Passed	Remaining
0	127	156515
1	280	171877
2	446	182370
3	591	181086
4	759	185715
5	941	191849
6	1208	210829
7	1416	216026
8	1637	221856
9	1857	226253
10	2075	229624
11	2390	242282
12	2598	242851
13	2772	240431
14	3031	245109
15	3231	244768
16	3409	242879
17	3589	241288
18	3735	237724
19	3960	239233
20	4188	240727
21	4366	239356
22	4544	238076
23	4718	236689
24	5018	241470
25	5413	250265
26	5595	248882
27	5813	249159
28	6079	251376
29	6307	251870
30	6488	250540
31	6708	250731
32	6941	251370
33	7163	251549
34	7405	252415
35	7588	251274
36	7867	253257
37	8253	258451
38	8625	262979
39	9130	271168
40	9427	272923
41	9770	275902
42	10029	276399
43	10270	276357
44	10506	276203
45	10814	277884
46	11049	277656
47	11263	276888
48	11466	275905
49	11669	274943
50	11835	273136
51	11992	271214
52	12159	269573
53	12339	268264
54	12549	267638
55	12739	266615
56	12977	266615
57	13249	267276
58	13512	267732
59	13755	267774
60	14008	267994
61	14282	268596
62	14539	268857
63	14767	268583
64	15085	269911
65	15371	270624
66	15760	273106
67	16031	273476
68	16257	273075
69	16504	273028
70	16703	272195
71	16941	272005
72	17200	272137
73	17593	274370
74	17728	272539
75	17948	272060
76	18137	271119
77	18295	269747
78	18483	268822
79	18689	268198
80	18894	267552
81	19113	267125
82	19349	266927
83	19577	266630
84	19782	266012
85	19981	265332
86	20175	264596
87	20377	263978
88	20611	263778
89	20787	262848
90	20989	262251
91	21178	261507
92	21372	260830
93	21553	260013
94	21745	259346
95	21929	258581
96	22119	257914
97	22298	257114
98	22431	255804
99	22630	255272
100	22935	255920
101	23126	255295
102	23324	254752
103	23467	253625
104	23602	252435
105	23819	252127
106	24011	251554
107	24201	250983
108	24389	250381
109	24576	249782
110	24732	248881
111	24899	248103
112	25079	247461
113	25286	247098
114	25555	247327
115	25827	247584
116	26176	248561
117	26459	248902
118	26743	249235
119	26987	249189
120	27210	248938
121	27360	248034
122	27598	247933
123	27815	247651
124	28041	247441
125	28306	247571
126	28636	248255
127	28922	248551
128	29194	248715
129	29458	248810
130	29723	248903
131	29936	248567
132	30296	249437
133	30629	250066
134	30843	249716
135	31032	249168
136	31182	248323
137	31382	247873
138	31618	247714
139	31917	248045
140	32314	249118
141	32523	248739
142	32663	247829
143	32877	247491
144	33098	247213
145	33270	246568
146	33495	246320
147	33816	246765
148	34364	248852
149	34629	248870
150	34843	248519
151	35058	248175
152	35248	247663
153	35485	247479
154	35968	248992
155	36220	248896
156	36681	250230
157	37025	250743
158	37352	251130
159	37559	250712
160	37718	249972
161	37898	249381
162	38079	248800
163	38265	248259
164	38477	247888
165	38657	247313
166	38834	246728
167	39021	246205
168	39234	245851
169	39398	245200
170	39602	244793
171	39792	244306
172	39971	243758
173	40160	243268
174	40345	242762
175	40534	242285
176	40725	241820
177	40904	241289
178	41098	240852
179	41300	240461
180	41562	240422
181	41772	240077
